id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
283	aof	Asparagus officinalis	AOF	Viridiplantae;Magnoliophyta;monocotyledons;	4686	Aspof.V1	NCBI_Assembly:GCA_001876935.1	0	NULL
284	apa	Aiptasia pallida	APA	Metazoa;Cnidaria;	1720309	NULL	NULL	0	NULL
285	smc	Symbiodinium microadriaticum	SMC	Alveolata;	2951	ASM193914v1	NCBI_Assembly:GCA_001939145.1	0	NULL
286	phw	Parhyale hawaiensis	PHW	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;	317513	NULL	NULL	0	NULL
287	laf	Loxodonta africana	LAF	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;	9785	NULL	NULL	0	NULL
288	bla	Branchiostoma lanceolatum	BLA	Metazoa;Bilateria;Deuterostoma;Chordata;Cephalochordata;	7740	NULL	NULL	0	NULL
289	lch	Latimeria chalumnae	LCH	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;	7897	NULL	NULL	0	NULL
290	loc	Lepisosteus oculatus	LOC	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;	7918	NULL	NULL	0	NULL
291	mal	Monopterus albus	MAL	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	43700	NULL	NULL	0	NULL
292	gja	Gekko japonicus	GJA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Sauria;	146911	NULL	NULL	0	NULL
293	ebu	Eptatretus burgeri	EBU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;	7764	NULL	NULL	0	NULL
294	mun	Microcaecilia unicolor	MUN	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;	1415580	NULL	NULL	0	NULL
295	pfl	Ptychodera flava	PFL	Metazoa;Bilateria;Deuterostoma;Hemichordata;	63121	NULL	NULL	0	NULL
296	agr	Acanthopleura granulata	AGR	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	61363	NULL	NULL	0	NULL
297	ofu	Owenia fusiformis	OFU	Metazoa;Bilateria;Lophotrochozoa;Annelida;	6347	NULL	NULL	0	NULL
298	mms	Mopalia muscosa	MMS	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	256104	NULL	NULL	0	NULL
299	dlo	Diachasmimorpha longicaudata	DLO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	58733	NULL	NULL	0	NULL
300	pau	Phoronis australis	PAU	Metazoa;Bilateria;Lophotrochozoa;	115415	NULL	NULL	0	NULL
301	pve	Pictodentalium vernedei	PVE	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	2996714	NULL	NULL	0	NULL
302	hmi	Hofstenia miamia	HMI	Metazoa;Bilateria;	442651	NULL	NULL	0	NULL
303	sro	Symsagittifera roscoffensis	SRO	Metazoa;Bilateria;	84072	NULL	NULL	0	NULL
304	mgi	Magallana gigas	MGI	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	29159	NULL	NULL	0	NULL
305	dgy	Dimorphilus gyrociliatus	DGY	Metazoa;Bilateria;Lophotrochozoa;Annelida;	2664684	NULL	NULL	0	NULL
306	nag	Neoechinorhynchus agilis	NAG	Metazoa;Bilateria;Lophotrochozoa;	2593365	NULL	NULL	0	NULL
307	hpi	Halcurias pilatus	HPI	Metazoa;Cnidaria;	1499589	NULL	NULL	0	NULL
308	efe	Eisenia fetida	EFE	Metazoa;Bilateria;Lophotrochozoa;Annelida;	6396	NULL	NULL	0	NULL
309	eba	Epimenia babai	EBA	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	231999	NULL	NULL	0	NULL
310	llo	Lineus longissimus	LLO	Metazoa;Bilateria;Lophotrochozoa;Nemertea;	88925	NULL	NULL	0	NULL
311	bpl	Brachionus plicatilis	BPL	Metazoa;Bilateria;	10195	NULL	NULL	0	NULL
312	ava	Adineta vaga	AVA	Metazoa;Bilateria;	104782	NULL	NULL	0	NULL
313	sne	Seison nebaliae	SNE	Metazoa;Bilateria;	104778	NULL	NULL	0	NULL
314	war	Wirenia argentea	WAR	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	669229	NULL	NULL	0	NULL
315	adi	Acropora digitifera	ADI	Metazoa;Cnidaria;	70779	NULL	NULL	0	NULL
316	ovu	Octopus vulgaris	OVU	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	6645	NULL	NULL	0	NULL
317	gpa	Glossina pallidipes	GPA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7398	NULL	NULL	0	NULL
318	ple	Pomphorhynchus laevis	PLE	Metazoa;Bilateria;Lophotrochozoa;	141832	NULL	NULL	0	NULL
319	hvl	Hydra vulgaris	HVL	Metazoa;Cnidaria;	6087	NULL	NULL	0	NULL
320	csc	Centruroides sculpturatus	CSC	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	218467	NULL	NULL	0	NULL
321	lpo	Limulus polyphemus	LPO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	6850	NULL	NULL	0	NULL
322	lhy	Laevipilina hyalina	LHY	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	651133	NULL	NULL	0	NULL
323	bko	Brachionus koreanus	BKO	Metazoa;Bilateria;	1199090	NULL	NULL	0	NULL
324	pcr	Prostheceraeus crozeri	PCR	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	2291463	NULL	NULL	0	NULL
325	rph	Ruditapes philippinarum	RPH	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	129788	NULL	NULL	0	NULL
326	eml	Ephydatia muelleri	EML	Metazoa;Porifera;	6052	NULL	NULL	0	NULL
327	esc	Euprymna scolopes	ESC	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	6613	NULL	NULL	0	NULL
328	obi	Octopus bimaculoides	OBI	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	37653	NULL	NULL	0	NULL
329	bge	Blattella germanica	BGE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	6973	NULL	NULL	0	NULL
330	npo	Nautilus pompilius	NPO	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	34573	NULL	NULL	0	NULL
331	dmg	Daphnia magna	DMG	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;	35525	NULL	NULL	0	NULL
332	snu	Sipunculus nudus	SNU	Metazoa;Bilateria;Lophotrochozoa;Annelida;	6446	NULL	NULL	0	NULL
333	lan	Lingula anatina	LAN	Metazoa;Bilateria;Lophotrochozoa;Brachiopoda;	7574	NULL	NULL	0	NULL
334	pdu	Platynereis dumerilii	PDU	Metazoa;Bilateria;Lophotrochozoa;Annelida;	6359	NULL	NULL	0	NULL
335	pae	Pongo abelii	PAE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9601	NULL	NULL	0	NULL
336	vcr	Volvox carteri	VCR	Viridiplantae;Chlorophyta;	3067	NULL	NULL	0	NULL
337	sto	Scyliorhinus torazame	STO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;	75743	NULL	NULL	0	NULL
338	spt	Sphenodon punctatus	SPT	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Sauria;	8508	NULL	NULL	0	NULL
